credits,dept_num,instructor,keyword,session,term,title,university
3,SOCI 371 002,"Strassmann, Diana L.",justic,Full Term,Fall Semester 2017,"POVERTY, JUSTICE, CAPABILITIES",rice university
3,COLL 201 001,"Ramirez, Rodolfo",law,Full Term,Fall Semester 2017,INTRODUCTION TO LAW,rice university
3,ECON 239 001,"Warden, David E.",law,Full Term,Fall Semester 2017,LAW AND ECONOMICS,rice university
3,HUMA 315 001,"LaBove, Shannon D.",law,Full Term,Fall Semester 2017,COMMUNICATION LAW,rice university
3,HUMA 404 001,"Caldwell, Peter C.",law,Full Term,Fall Semester 2017,LAW INTERNSHIP 1,rice university
1.5,MGMT 721 001,"Butler, Lee Ann E.",law,MBA Term I,Fall Semester 2017,BUSINESS LAW,rice university
1.5,MGMT 961 001,"Stuart, Laurence E.",law,EMBA Term III,Fall Semester 2017,BUSINESS LAW,rice university
1.5,MGMT 962 001,"Stuart, Laurence E.",law,EMBA Term IV,Fall Semester 2017,APPLIED CONTRACT LAW,rice university
3,POLI 321 001,"Cuthbertson, Gilbert M.",law,Full Term,Fall Semester 2017,AMER CONSTITUTIONAL LAW,rice university
3,SMGT 364 001,"Jones, Karen L.",law,Full Term,Fall Semester 2017,SPORT LAW,rice university
3,SMGT 364 002,"Jones, Karen L.",law,Full Term,Fall Semester 2017,SPORT LAW,rice university
3,SOSC 405 001,"Warden, David E.",law,Full Term,Fall Semester 2017,LAW PRACTICUM,rice university
3,HIST 398 001,"Dow, David R.",legal,Full Term,Fall Semester 2017,TOPICS IN LEGAL HISTORY,rice university
3,SWGS 398 001,"Dow, David R.",legal,Full Term,Fall Semester 2017,TOPICS IN LEGAL HISTORY,rice university
3,MLSC 526 001,"Jablecki, Lawrence T.",moral,MLS Fall Session,Fall Semester 2017,CONTEMPORARY MORAL ISSUES,rice university
3,PHIL 101 001,"Sher, George",moral,Full Term,Fall Semester 2017,CONTEMPORARY MORAL ISSUES,rice university
3,PSYC 332 001,"Diddel, Roberta M.",norm,Full Term,Fall Semester 2017,ABNORMAL BEHAVIOR,rice university
3,CLAS 201 001,"Siewert, Charles",philosoph,Full Term,Fall Semester 2017,HISTORY OF PHILOSOPHY I,rice university
1,COLL 137 001,"Pan, Zixuan",philosoph,Full Term,Fall Semester 2017,PHILOSOPHY OF COFFEE,rice university
3,FWIS 170 001,"Medeiros, Darren J.",philosoph,First Year Writing,Fall Semester 2017,PHILOSOPHY AND SCIENCE FICTION,rice university
3,MDEM 201 001,"Siewert, Charles",philosoph,Full Term,Fall Semester 2017,HISTORY OF PHILOSOPHY I,rice university
3,PHIL 100 002,"Kao, Ya-Yun",philosoph,Full Term,Fall Semester 2017,PROBLEMS OF PHILOSOPHY,rice university
3,PHIL 111 001,"Yao, Vida",philosoph,Full Term,Fall Semester 2017,INTRO TO FEMINIST PHILOSOPHY,rice university
3,PHIL 201 001,"Siewert, Charles",philosoph,Full Term,Fall Semester 2017,HISTORY OF PHILOSOPHY I,rice university
3,PHIL 302 001,"Miller, Brian T.",philosoph,Full Term,Fall Semester 2017,MODERN PHILOSOPHY,rice university
3,PHIL 310 001,"Morgan, Alexander D.",philosoph,Full Term,Fall Semester 2017,PHILOSOPHY OF BIOLOGY,rice university
3,PHIL 542 001,"Siewert, Charles",philosoph,Full Term,Fall Semester 2017,TOPICS IN PHILOSOPHY OF MIND,rice university
3,SWGS 111 001,"Yao, Vida",philosoph,Full Term,Fall Semester 2017,INTRO TO FEMINIST PHILOSOPHY,rice university
3,GLBL 531 001,"Fang, Songying",polit,Full Term,Fall Semester 2017,CHANGE IN WORLD POLITICS,rice university
1.5,MGMT 611 001,"Arnold, William M.",polit,MBA Term II,Fall Semester 2017,GEOPOLITICS OF ENERGY,rice university
1.5,MGMT 611 002,"Arnold, William M.",polit,EMBA Term III,Fall Semester 2017,GEOPOLITICS OF ENERGY,rice university
3,PHIL 327 001,"Morrison, Donald R.",polit,Full Term,Fall Semester 2017,HIST SOCIAL & POLITICAL PHILOS,rice university
3,POLI 210 001,"Wilson, Rick K.",polit,Full Term,Fall Semester 2017,AMERICAN GOVT AND POLITICS,rice university
