credits,dept_num,instructor,keyword,term,title,university
3,APH 314,Underhill,histor,Spring 2018,History of Architecture II,arizona state university-tempe
3,ARS 101,Lewis,histor,Spring 2018,Art-Prehistory thru Middle Age,arizona state university-tempe
1-12,ARS 700,Brown,histor,Spring 2018,"Topic: History, Theory and Criticism of Art",arizona state university-tempe
3,ASB 301,Baker,histor,Spring 2018,Global History of Health,arizona state university-tempe
3,ASB 412,Jonsson,histor,Spring 2018,History of Anthropology,arizona state university-tempe
3,BIO 316,Chew,histor,Spring 2018,History of Biology: Conflicts,arizona state university-tempe
3,CHI 452,Yang,histor,Spring 2018,Chinese Cultural History II,arizona state university-tempe
3,DCE 300,Jackson,histor,Spring 2018,Moving Histories,arizona state university-tempe
3,ENG 392,Ratcliffe,histor,Spring 2018,History of Rhetorical Theory,arizona state university-tempe
3,ENG 400,Sturges,histor,Spring 2018,History of Literary Criticism,arizona state university-tempe
3,ENG 413,Van Gelderen,histor,Spring 2018,History of English Language,arizona state university-tempe
3,ENG 655,Goggin,histor,Spring 2018,Topic: History of English Studies,arizona state university-tempe
3,FMP 294,Scott,histor,Spring 2018,"Topic: History of Film & Television Production
(LEL)",arizona state university-tempe
3,FMS 200,Hartmann,histor,Spring 2018,Film History,arizona state university-tempe
3,GAP 41,Eick,histor,Spring 2018,"History Bridge
(LEL)",arizona state university-tempe
3,GLG 102,Burt,histor,Spring 2018,Intro Geology II (Historical),arizona state university-tempe
3,GRA 112,Minniss,histor,Spring 2018,Graphic Design History II,arizona state university-tempe
3,HON 370,Parker,histor,Spring 2018,"History of Ideas
(SEM)",arizona state university-tempe
3,HON 370,Voorhees,histor,Spring 2018,"History of Ideas
(SEM)",arizona state university-tempe
3,HON 394,Longley,histor,Spring 2018,Topic: Indochina Wars: Vietnam in Historical Perspective,arizona state university-tempe
3,HON 394,Jacobs,histor,Spring 2018,Topic: The History and Evolution of Human Food,arizona state university-tempe
3,HON 494,Yang,histor,Spring 2018,Topic: Chinese Cultural History II,arizona state university-tempe
3,HPS 322,Creath,histor,Spring 2018,History of Science,arizona state university-tempe
3,HPS 322,Creath,histor,Spring 2018,History of Science,arizona state university-tempe
1,HPS 394,Creath,histor,Spring 2018,Topic: Discussing History of Science HPS 322,arizona state university-tempe
3,HPS 511,Creath,histor,Spring 2018,"History of Science
(SEM)",arizona state university-tempe
3,AFR 352,Shabazz Sanders,inequ,Spring 2018,RaceSpace&ProductionInequality,arizona state university-tempe
3,APA 352,Shabazz Sanders,inequ,Spring 2018,RaceSpace&ProductionInequality,arizona state university-tempe
